,stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id,count
1300,49.233276,51670.0,-123.042996,1683,,,,Northbound Rupert St @ E 41 Ave,0,BUS ZN,58
1301,49.231367,51669.0,-123.042993,1682,,,,Northbound Rupert St @ E 43 Ave,0,BUS ZN,58
1302,49.238709,51671.0,-123.032702,1685,,,,Joyce Station @ Bay 2,0,BUS ZN,68
1303,49.244846,51675.0,-123.033756,1689,,,,Northbound Rupert St @ E 29 Ave,0,BUS ZN,56
1304,49.135115,54865.0,-122.890162,4917,,,,Northbound Scott Rd @ 72 Ave,0,BUS ZN,247
1305,49.162156,57209.0,-122.628438,7280,,,,Westbound 88 Ave @ 214B St,0,BUS ZN,33
1306,49.254741,51457.0,-123.002423,1469,,,,Westbound Canada Way @ Willingdon Ave,0,BUS ZN,75
1307,49.254765,51456.0,-122.9987,1468,,,,Westbound Canada Way @ Beta Ave,0,BUS ZN,75
1308,49.252334,51453.0,-122.988923,1465,,,,Northbound Canada Way @ Hardwick St,0,BUS ZN,75
1309,49.250067,51452.0,-122.985846,1464,,,,Westbound Canada Way @ 4800 Block,0,BUS ZN,75
1310,49.254779,51455.0,-122.995127,1467,,,,Westbound Canada Way @ Wayburne Dr,0,BUS ZN,75
1311,49.253824,51454.0,-122.989318,1466,,,,Westbound Canada Way @ Royal Oak Ave,0,BUS ZN,75
1312,49.245954,51449.0,-122.975378,1461,,,,Westbound Canada Way @ Norland Ave,0,BUS ZN,127
1313,49.244602,51448.0,-122.972866,1460,,,,Westbound Canada Way @ Ledger Ave,0,BUS ZN,127
1314,49.249555,51451.0,-122.981263,1463,,,,Westbound Canada Way @ Douglas Rd,0,BUS ZN,75
1315,49.247632,51450.0,-122.978102,1462,,,,Westbound Canada Way @ Spruce St,0,BUS ZN,127
1316,49.341659,54193.0,-123.029753,4239,,,,Westbound Lynn Valley Rd @ Peters Rd,0,BUS ZN,82
1317,49.343241,54192.0,-123.028702,4238,,,,Southbound Hoskins Rd @ Burrill Ave,0,BUS ZN,55
1318,49.344793,54191.0,-123.028655,4237,,,,Southbound Hoskins Rd @ Langworthy St,0,BUS ZN,55
